V4_0,time_codelist,time,geography_codelist,geography,estimate_codelist,estimate,measureofwellbeing_codelist,measureofwellbeing
2.9,year ending,October 2015 - September 2016,K02000001,United Kingdom,mean-average,Mean Average,anxiety,Anxiety
40.4,year ending,October 2015 - September 2016,K02000001,United Kingdom,very-good,Very good,anxiety,Anxiety
23.1,year ending,October 2015 - September 2016,K02000001,United Kingdom,good,Good,anxiety,Anxiety
16.74,year ending,October 2015 - September 2016,K02000001,United Kingdom,fair,Fair,anxiety,Anxiety
19.76,year ending,October 2015 - September 2016,K02000001,United Kingdom,poor,Poor,anxiety,Anxiety
2.89,year ending,January 2016 - December 2016,K02000001,United Kingdom,mean-average,Mean Average,anxiety,Anxiety
40.32,year ending,January 2016 - December 2016,K02000001,United Kingdom,very-good,Very good,anxiety,Anxiety
23.41,year ending,January 2016 - December 2016,K02000001,United Kingdom,good,Good,anxiety,Anxiety
16.57,year ending,January 2016 - December 2016,K02000001,United Kingdom,fair,Fair,anxiety,Anxiety
19.7,year ending,January 2016 - December 2016,K02000001,United Kingdom,poor,Poor,anxiety,Anxiety
2.9,year ending,April 2016 - March 2017,K02000001,United Kingdom,mean-average,Mean Average,anxiety,Anxiety
40.15,year ending,April 2016 - March 2017,K02000001,United Kingdom,very-good,Very good,anxiety,Anxiety
23.34,year ending,April 2016 - March 2017,K02000001,United Kingdom,good,Good,anxiety,Anxiety
16.65,year ending,April 2016 - March 2017,K02000001,United Kingdom,fair,Fair,anxiety,Anxiety
19.85,year ending,April 2016 - March 2017,K02000001,United Kingdom,poor,Poor,anxiety,Anxiety
2.91,year ending,July 2016 - June 2017,K02000001,United Kingdom,mean-average,Mean Average,anxiety,Anxiety
40.09,year ending,July 2016 - June 2017,K02000001,United Kingdom,very-good,Very good,anxiety,Anxiety
23.37,year ending,July 2016 - June 2017,K02000001,United Kingdom,good,Good,anxiety,Anxiety
16.68,year ending,July 2016 - June 2017,K02000001,United Kingdom,fair,Fair,anxiety,Anxiety
19.86,year ending,July 2016 - June 2017,K02000001,United Kingdom,poor,Poor,anxiety,Anxiety
2.92,year ending,October 2016 - September 2017,K02000001,United Kingdom,mean-average,Mean Average,anxiety,Anxiety
39.89,year ending,October 2016 - September 2017,K02000001,United Kingdom,very-good,Very good,anxiety,Anxiety
23.43,year ending,October 2016 - September 2017,K02000001,United Kingdom,good,Good,anxiety,Anxiety
16.59,year ending,October 2016 - September 2017,K02000001,United Kingdom,fair,Fair,anxiety,Anxiety
20.1,year ending,October 2016 - September 2017,K02000001,United Kingdom,poor,Poor,anxiety,Anxiety
7.41,year ending,April 2011 - March 2012,E92000001,England,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.4,year ending,April 2011 - March 2012,W92000004,Wales,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.51,year ending,April 2011 - March 2012,S92000003,Scotland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.53,year ending,April 2011 - March 2012,N92000002,Northern Ireland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
6.53,year ending,April 2011 - March 2012,E92000001,England,poor,Poor,life-satisfaction,Life Satisfaction
17.59,year ending,April 2011 - March 2012,E92000001,England,fair,Fair,life-satisfaction,Life Satisfaction
50.01,year ending,April 2011 - March 2012,E92000001,England,good,Good,life-satisfaction,Life Satisfaction
25.87,year ending,April 2011 - March 2012,E92000001,England,very-good,Very good,life-satisfaction,Life Satisfaction
7.1,year ending,April 2011 - March 2012,W92000004,Wales,poor,Poor,life-satisfaction,Life Satisfaction
17.91,year ending,April 2011 - March 2012,W92000004,Wales,fair,Fair,life-satisfaction,Life Satisfaction
48.08,year ending,April 2011 - March 2012,W92000004,Wales,good,Good,life-satisfaction,Life Satisfaction
26.9,year ending,April 2011 - March 2012,W92000004,Wales,very-good,Very good,life-satisfaction,Life Satisfaction
5.99,year ending,April 2011 - March 2012,S92000003,Scotland,poor,Poor,life-satisfaction,Life Satisfaction
16.15,year ending,April 2011 - March 2012,S92000003,Scotland,fair,Fair,life-satisfaction,Life Satisfaction
49.78,year ending,April 2011 - March 2012,S92000003,Scotland,good,Good,life-satisfaction,Life Satisfaction
28.07,year ending,April 2011 - March 2012,S92000003,Scotland,very-good,Very good,life-satisfaction,Life Satisfaction
6.36,year ending,April 2011 - March 2012,N92000002,Northern Ireland,poor,Poor,life-satisfaction,Life Satisfaction
15.85,year ending,April 2011 - March 2012,N92000002,Northern Ireland,fair,Fair,life-satisfaction,Life Satisfaction
47.74,year ending,April 2011 - March 2012,N92000002,Northern Ireland,good,Good,life-satisfaction,Life Satisfaction
30.05,year ending,April 2011 - March 2012,N92000002,Northern Ireland,very-good,Very good,life-satisfaction,Life Satisfaction
7.42,year ending,July 2011 - June 2012,E92000001,England,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.4,year ending,July 2011 - June 2012,W92000004,Wales,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.52,year ending,July 2011 - June 2012,S92000003,Scotland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.55,year ending,July 2011 - June 2012,N92000002,Northern Ireland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
6.26,year ending,July 2011 - June 2012,E92000001,England,poor,Poor,life-satisfaction,Life Satisfaction
17.55,year ending,July 2011 - June 2012,E92000001,England,fair,Fair,life-satisfaction,Life Satisfaction
50.36,year ending,July 2011 - June 2012,E92000001,England,good,Good,life-satisfaction,Life Satisfaction
25.84,year ending,July 2011 - June 2012,E92000001,England,very-good,Very good,life-satisfaction,Life Satisfaction
7.0,year ending,July 2011 - June 2012,W92000004,Wales,poor,Poor,life-satisfaction,Life Satisfaction
18.06,year ending,July 2011 - June 2012,W92000004,Wales,fair,Fair,life-satisfaction,Life Satisfaction
48.41,year ending,July 2011 - June 2012,W92000004,Wales,good,Good,life-satisfaction,Life Satisfaction
26.54,year ending,July 2011 - June 2012,W92000004,Wales,very-good,Very good,life-satisfaction,Life Satisfaction
5.81,year ending,July 2011 - June 2012,S92000003,Scotland,poor,Poor,life-satisfaction,Life Satisfaction
16.01,year ending,July 2011 - June 2012,S92000003,Scotland,fair,Fair,life-satisfaction,Life Satisfaction
50.6,year ending,July 2011 - June 2012,S92000003,Scotland,good,Good,life-satisfaction,Life Satisfaction
27.58,year ending,July 2011 - June 2012,S92000003,Scotland,very-good,Very good,life-satisfaction,Life Satisfaction
6.05,year ending,July 2011 - June 2012,N92000002,Northern Ireland,poor,Poor,life-satisfaction,Life Satisfaction
16.09,year ending,July 2011 - June 2012,N92000002,Northern Ireland,fair,Fair,life-satisfaction,Life Satisfaction
47.77,year ending,July 2011 - June 2012,N92000002,Northern Ireland,good,Good,life-satisfaction,Life Satisfaction
30.09,year ending,July 2011 - June 2012,N92000002,Northern Ireland,very-good,Very good,life-satisfaction,Life Satisfaction
7.44,year ending,October 2011 - September 2012,E92000001,England,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.39,year ending,October 2011 - September 2012,W92000004,Wales,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.53,year ending,October 2011 - September 2012,S92000003,Scotland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.59,year ending,October 2011 - September 2012,N92000002,Northern Ireland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
5.95,year ending,October 2011 - September 2012,E92000001,England,poor,Poor,life-satisfaction,Life Satisfaction
17.44,year ending,October 2011 - September 2012,E92000001,England,fair,Fair,life-satisfaction,Life Satisfaction
50.75,year ending,October 2011 - September 2012,E92000001,England,good,Good,life-satisfaction,Life Satisfaction
25.86,year ending,October 2011 - September 2012,E92000001,England,very-good,Very good,life-satisfaction,Life Satisfaction
7.06,year ending,October 2011 - September 2012,W92000004,Wales,poor,Poor,life-satisfaction,Life Satisfaction
17.92,year ending,October 2011 - September 2012,W92000004,Wales,fair,Fair,life-satisfaction,Life Satisfaction
48.67,year ending,October 2011 - September 2012,W92000004,Wales,good,Good,life-satisfaction,Life Satisfaction
26.35,year ending,October 2011 - September 2012,W92000004,Wales,very-good,Very good,life-satisfaction,Life Satisfaction
5.67,year ending,October 2011 - September 2012,S92000003,Scotland,poor,Poor,life-satisfaction,Life Satisfaction
15.81,year ending,October 2011 - September 2012,S92000003,Scotland,fair,Fair,life-satisfaction,Life Satisfaction
50.54,year ending,October 2011 - September 2012,S92000003,Scotland,good,Good,life-satisfaction,Life Satisfaction
27.98,year ending,October 2011 - September 2012,S92000003,Scotland,very-good,Very good,life-satisfaction,Life Satisfaction
5.79,year ending,October 2011 - September 2012,N92000002,Northern Ireland,poor,Poor,life-satisfaction,Life Satisfaction
15.94,year ending,October 2011 - September 2012,N92000002,Northern Ireland,fair,Fair,life-satisfaction,Life Satisfaction
47.62,year ending,October 2011 - September 2012,N92000002,Northern Ireland,good,Good,life-satisfaction,Life Satisfaction
30.65,year ending,October 2011 - September 2012,N92000002,Northern Ireland,very-good,Very good,life-satisfaction,Life Satisfaction
7.44,year ending,January 2012 - December 2012,E92000001,England,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.42,year ending,January 2012 - December 2012,W92000004,Wales,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.52,year ending,January 2012 - December 2012,S92000003,Scotland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.65,year ending,January 2012 - December 2012,N92000002,Northern Ireland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
5.86,year ending,January 2012 - December 2012,E92000001,England,poor,Poor,life-satisfaction,Life Satisfaction
17.4,year ending,January 2012 - December 2012,E92000001,England,fair,Fair,life-satisfaction,Life Satisfaction
50.93,year ending,January 2012 - December 2012,E92000001,England,good,Good,life-satisfaction,Life Satisfaction
25.81,year ending,January 2012 - December 2012,E92000001,England,very-good,Very good,life-satisfaction,Life Satisfaction
6.75,year ending,January 2012 - December 2012,W92000004,Wales,poor,Poor,life-satisfaction,Life Satisfaction
17.67,year ending,January 2012 - December 2012,W92000004,Wales,fair,Fair,life-satisfaction,Life Satisfaction
48.8,year ending,January 2012 - December 2012,W92000004,Wales,good,Good,life-satisfaction,Life Satisfaction
26.78,year ending,January 2012 - December 2012,W92000004,Wales,very-good,Very good,life-satisfaction,Life Satisfaction
5.51,year ending,January 2012 - December 2012,S92000003,Scotland,poor,Poor,life-satisfaction,Life Satisfaction
15.91,year ending,January 2012 - December 2012,S92000003,Scotland,fair,Fair,life-satisfaction,Life Satisfaction
50.98,year ending,January 2012 - December 2012,S92000003,Scotland,good,Good,life-satisfaction,Life Satisfaction
27.6,year ending,January 2012 - December 2012,S92000003,Scotland,very-good,Very good,life-satisfaction,Life Satisfaction
4.92,year ending,January 2012 - December 2012,N92000002,Northern Ireland,poor,Poor,life-satisfaction,Life Satisfaction
15.7,year ending,January 2012 - December 2012,N92000002,Northern Ireland,fair,Fair,life-satisfaction,Life Satisfaction
47.72,year ending,January 2012 - December 2012,N92000002,Northern Ireland,good,Good,life-satisfaction,Life Satisfaction
31.66,year ending,January 2012 - December 2012,N92000002,Northern Ireland,very-good,Very good,life-satisfaction,Life Satisfaction
7.44,year ending,April 2012 - March 2013,E92000001,England,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.44,year ending,April 2012 - March 2013,W92000004,Wales,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.53,year ending,April 2012 - March 2013,S92000003,Scotland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.7,year ending,April 2012 - March 2013,N92000002,Northern Ireland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
5.74,year ending,April 2012 - March 2013,E92000001,England,poor,Poor,life-satisfaction,Life Satisfaction
17.29,year ending,April 2012 - March 2013,E92000001,England,fair,Fair,life-satisfaction,Life Satisfaction
51.35,year ending,April 2012 - March 2013,E92000001,England,good,Good,life-satisfaction,Life Satisfaction
25.62,year ending,April 2012 - March 2013,E92000001,England,very-good,Very good,life-satisfaction,Life Satisfaction
6.5,year ending,April 2012 - March 2013,W92000004,Wales,poor,Poor,life-satisfaction,Life Satisfaction
17.17,year ending,April 2012 - March 2013,W92000004,Wales,fair,Fair,life-satisfaction,Life Satisfaction
49.61,year ending,April 2012 - March 2013,W92000004,Wales,good,Good,life-satisfaction,Life Satisfaction
26.73,year ending,April 2012 - March 2013,W92000004,Wales,very-good,Very good,life-satisfaction,Life Satisfaction
5.42,year ending,April 2012 - March 2013,S92000003,Scotland,poor,Poor,life-satisfaction,Life Satisfaction
15.67,year ending,April 2012 - March 2013,S92000003,Scotland,fair,Fair,life-satisfaction,Life Satisfaction
51.42,year ending,April 2012 - March 2013,S92000003,Scotland,good,Good,life-satisfaction,Life Satisfaction
27.49,year ending,April 2012 - March 2013,S92000003,Scotland,very-good,Very good,life-satisfaction,Life Satisfaction
4.15,year ending,April 2012 - March 2013,N92000002,Northern Ireland,poor,Poor,life-satisfaction,Life Satisfaction
15.84,year ending,April 2012 - March 2013,N92000002,Northern Ireland,fair,Fair,life-satisfaction,Life Satisfaction
47.11,year ending,April 2012 - March 2013,N92000002,Northern Ireland,good,Good,life-satisfaction,Life Satisfaction
32.9,year ending,April 2012 - March 2013,N92000002,Northern Ireland,very-good,Very good,life-satisfaction,Life Satisfaction
7.46,year ending,July 2012 - June 2013,E92000001,England,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.47,year ending,July 2012 - June 2013,W92000004,Wales,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.54,year ending,July 2012 - June 2013,S92000003,Scotland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.7,year ending,July 2012 - June 2013,N92000002,Northern Ireland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
5.66,year ending,July 2012 - June 2013,E92000001,England,poor,Poor,life-satisfaction,Life Satisfaction
16.92,year ending,July 2012 - June 2013,E92000001,England,fair,Fair,life-satisfaction,Life Satisfaction
51.58,year ending,July 2012 - June 2013,E92000001,England,good,Good,life-satisfaction,Life Satisfaction
25.84,year ending,July 2012 - June 2013,E92000001,England,very-good,Very good,life-satisfaction,Life Satisfaction
6.39,year ending,July 2012 - June 2013,W92000004,Wales,poor,Poor,life-satisfaction,Life Satisfaction
16.93,year ending,July 2012 - June 2013,W92000004,Wales,fair,Fair,life-satisfaction,Life Satisfaction
49.57,year ending,July 2012 - June 2013,W92000004,Wales,good,Good,life-satisfaction,Life Satisfaction
27.1,year ending,July 2012 - June 2013,W92000004,Wales,very-good,Very good,life-satisfaction,Life Satisfaction
5.44,year ending,July 2012 - June 2013,S92000003,Scotland,poor,Poor,life-satisfaction,Life Satisfaction
15.47,year ending,July 2012 - June 2013,S92000003,Scotland,fair,Fair,life-satisfaction,Life Satisfaction
51.33,year ending,July 2012 - June 2013,S92000003,Scotland,good,Good,life-satisfaction,Life Satisfaction
27.76,year ending,July 2012 - June 2013,S92000003,Scotland,very-good,Very good,life-satisfaction,Life Satisfaction
4.28,year ending,July 2012 - June 2013,N92000002,Northern Ireland,poor,Poor,life-satisfaction,Life Satisfaction
15.85,year ending,July 2012 - June 2013,N92000002,Northern Ireland,fair,Fair,life-satisfaction,Life Satisfaction
46.74,year ending,July 2012 - June 2013,N92000002,Northern Ireland,good,Good,life-satisfaction,Life Satisfaction
33.13,year ending,July 2012 - June 2013,N92000002,Northern Ireland,very-good,Very good,life-satisfaction,Life Satisfaction
7.47,year ending,October 2012 - September 2013,E92000001,England,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.49,year ending,October 2012 - September 2013,W92000004,Wales,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.54,year ending,October 2012 - September 2013,S92000003,Scotland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.67,year ending,October 2012 - September 2013,N92000002,Northern Ireland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
5.67,year ending,October 2012 - September 2013,E92000001,England,poor,Poor,life-satisfaction,Life Satisfaction
16.64,year ending,October 2012 - September 2013,E92000001,England,fair,Fair,life-satisfaction,Life Satisfaction
51.57,year ending,October 2012 - September 2013,E92000001,England,good,Good,life-satisfaction,Life Satisfaction
26.12,year ending,October 2012 - September 2013,E92000001,England,very-good,Very good,life-satisfaction,Life Satisfaction
6.16,year ending,October 2012 - September 2013,W92000004,Wales,poor,Poor,life-satisfaction,Life Satisfaction
16.8,year ending,October 2012 - September 2013,W92000004,Wales,fair,Fair,life-satisfaction,Life Satisfaction
49.36,year ending,October 2012 - September 2013,W92000004,Wales,good,Good,life-satisfaction,Life Satisfaction
27.69,year ending,October 2012 - September 2013,W92000004,Wales,very-good,Very good,life-satisfaction,Life Satisfaction
5.35,year ending,October 2012 - September 2013,S92000003,Scotland,poor,Poor,life-satisfaction,Life Satisfaction
15.43,year ending,October 2012 - September 2013,S92000003,Scotland,fair,Fair,life-satisfaction,Life Satisfaction
51.37,year ending,October 2012 - September 2013,S92000003,Scotland,good,Good,life-satisfaction,Life Satisfaction
27.85,year ending,October 2012 - September 2013,S92000003,Scotland,very-good,Very good,life-satisfaction,Life Satisfaction
4.7,year ending,October 2012 - September 2013,N92000002,Northern Ireland,poor,Poor,life-satisfaction,Life Satisfaction
15.69,year ending,October 2012 - September 2013,N92000002,Northern Ireland,fair,Fair,life-satisfaction,Life Satisfaction
46.31,year ending,October 2012 - September 2013,N92000002,Northern Ireland,good,Good,life-satisfaction,Life Satisfaction
33.29,year ending,October 2012 - September 2013,N92000002,Northern Ireland,very-good,Very good,life-satisfaction,Life Satisfaction
7.48,year ending,January 2013 - December 2013,E92000001,England,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.51,year ending,January 2013 - December 2013,W92000004,Wales,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.57,year ending,January 2013 - December 2013,S92000003,Scotland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.7,year ending,January 2013 - December 2013,N92000002,Northern Ireland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
5.69,year ending,January 2013 - December 2013,E92000001,England,poor,Poor,life-satisfaction,Life Satisfaction
16.45,year ending,January 2013 - December 2013,E92000001,England,fair,Fair,life-satisfaction,Life Satisfaction
51.6,year ending,January 2013 - December 2013,E92000001,England,good,Good,life-satisfaction,Life Satisfaction
26.26,year ending,January 2013 - December 2013,E92000001,England,very-good,Very good,life-satisfaction,Life Satisfaction
6.11,year ending,January 2013 - December 2013,W92000004,Wales,poor,Poor,life-satisfaction,Life Satisfaction
16.34,year ending,January 2013 - December 2013,W92000004,Wales,fair,Fair,life-satisfaction,Life Satisfaction
49.84,year ending,January 2013 - December 2013,W92000004,Wales,good,Good,life-satisfaction,Life Satisfaction
27.71,year ending,January 2013 - December 2013,W92000004,Wales,very-good,Very good,life-satisfaction,Life Satisfaction
5.38,year ending,January 2013 - December 2013,S92000003,Scotland,poor,Poor,life-satisfaction,Life Satisfaction
14.75,year ending,January 2013 - December 2013,S92000003,Scotland,fair,Fair,life-satisfaction,Life Satisfaction
51.62,year ending,January 2013 - December 2013,S92000003,Scotland,good,Good,life-satisfaction,Life Satisfaction
28.25,year ending,January 2013 - December 2013,S92000003,Scotland,very-good,Very good,life-satisfaction,Life Satisfaction
4.49,year ending,January 2013 - December 2013,N92000002,Northern Ireland,poor,Poor,life-satisfaction,Life Satisfaction
15.86,year ending,January 2013 - December 2013,N92000002,Northern Ireland,fair,Fair,life-satisfaction,Life Satisfaction
45.18,year ending,January 2013 - December 2013,N92000002,Northern Ireland,good,Good,life-satisfaction,Life Satisfaction
34.48,year ending,January 2013 - December 2013,N92000002,Northern Ireland,very-good,Very good,life-satisfaction,Life Satisfaction
7.5,year ending,April 2013 - March 2014,E92000001,England,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.52,year ending,April 2013 - March 2014,W92000004,Wales,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.58,year ending,April 2013 - March 2014,S92000003,Scotland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.73,year ending,April 2013 - March 2014,N92000002,Northern Ireland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
5.58,year ending,April 2013 - March 2014,E92000001,England,poor,Poor,life-satisfaction,Life Satisfaction
16.06,year ending,April 2013 - March 2014,E92000001,England,fair,Fair,life-satisfaction,Life Satisfaction
51.88,year ending,April 2013 - March 2014,E92000001,England,good,Good,life-satisfaction,Life Satisfaction
26.48,year ending,April 2013 - March 2014,E92000001,England,very-good,Very good,life-satisfaction,Life Satisfaction
5.98,year ending,April 2013 - March 2014,W92000004,Wales,poor,Poor,life-satisfaction,Life Satisfaction
16.17,year ending,April 2013 - March 2014,W92000004,Wales,fair,Fair,life-satisfaction,Life Satisfaction
49.98,year ending,April 2013 - March 2014,W92000004,Wales,good,Good,life-satisfaction,Life Satisfaction
27.88,year ending,April 2013 - March 2014,W92000004,Wales,very-good,Very good,life-satisfaction,Life Satisfaction
5.21,year ending,April 2013 - March 2014,S92000003,Scotland,poor,Poor,life-satisfaction,Life Satisfaction
14.66,year ending,April 2013 - March 2014,S92000003,Scotland,fair,Fair,life-satisfaction,Life Satisfaction
52.24,year ending,April 2013 - March 2014,S92000003,Scotland,good,Good,life-satisfaction,Life Satisfaction
27.9,year ending,April 2013 - March 2014,S92000003,Scotland,very-good,Very good,life-satisfaction,Life Satisfaction
4.69,year ending,April 2013 - March 2014,N92000002,Northern Ireland,poor,Poor,life-satisfaction,Life Satisfaction
15.14,year ending,April 2013 - March 2014,N92000002,Northern Ireland,fair,Fair,life-satisfaction,Life Satisfaction
44.39,year ending,April 2013 - March 2014,N92000002,Northern Ireland,good,Good,life-satisfaction,Life Satisfaction
35.79,year ending,April 2013 - March 2014,N92000002,Northern Ireland,very-good,Very good,life-satisfaction,Life Satisfaction
7.53,year ending,July 2013 - June 2014,E92000001,England,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.54,year ending,July 2013 - June 2014,W92000004,Wales,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.61,year ending,July 2013 - June 2014,S92000003,Scotland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.75,year ending,July 2013 - June 2014,N92000002,Northern Ireland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
5.35,year ending,July 2013 - June 2014,E92000001,England,poor,Poor,life-satisfaction,Life Satisfaction
15.83,year ending,July 2013 - June 2014,E92000001,England,fair,Fair,life-satisfaction,Life Satisfaction
51.74,year ending,July 2013 - June 2014,E92000001,England,good,Good,life-satisfaction,Life Satisfaction
27.08,year ending,July 2013 - June 2014,E92000001,England,very-good,Very good,life-satisfaction,Life Satisfaction
5.81,year ending,July 2013 - June 2014,W92000004,Wales,poor,Poor,life-satisfaction,Life Satisfaction
15.95,year ending,July 2013 - June 2014,W92000004,Wales,fair,Fair,life-satisfaction,Life Satisfaction
49.88,year ending,July 2013 - June 2014,W92000004,Wales,good,Good,life-satisfaction,Life Satisfaction
28.36,year ending,July 2013 - June 2014,W92000004,Wales,very-good,Very good,life-satisfaction,Life Satisfaction
4.98,year ending,July 2013 - June 2014,S92000003,Scotland,poor,Poor,life-satisfaction,Life Satisfaction
14.27,year ending,July 2013 - June 2014,S92000003,Scotland,fair,Fair,life-satisfaction,Life Satisfaction
52.44,year ending,July 2013 - June 2014,S92000003,Scotland,good,Good,life-satisfaction,Life Satisfaction
28.31,year ending,July 2013 - June 2014,S92000003,Scotland,very-good,Very good,life-satisfaction,Life Satisfaction
4.29,year ending,July 2013 - June 2014,N92000002,Northern Ireland,poor,Poor,life-satisfaction,Life Satisfaction
15.0,year ending,July 2013 - June 2014,N92000002,Northern Ireland,fair,Fair,life-satisfaction,Life Satisfaction
43.86,year ending,July 2013 - June 2014,N92000002,Northern Ireland,good,Good,life-satisfaction,Life Satisfaction
36.85,year ending,July 2013 - June 2014,N92000002,Northern Ireland,very-good,Very good,life-satisfaction,Life Satisfaction
7.54,year ending,October 2013 - September 2014,E92000001,England,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.55,year ending,October 2013 - September 2014,W92000004,Wales,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.64,year ending,October 2013 - September 2014,S92000003,Scotland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.81,year ending,October 2013 - September 2014,N92000002,Northern Ireland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
5.23,year ending,October 2013 - September 2014,E92000001,England,poor,Poor,life-satisfaction,Life Satisfaction
15.58,year ending,October 2013 - September 2014,E92000001,England,fair,Fair,life-satisfaction,Life Satisfaction
51.89,year ending,October 2013 - September 2014,E92000001,England,good,Good,life-satisfaction,Life Satisfaction
27.3,year ending,October 2013 - September 2014,E92000001,England,very-good,Very good,life-satisfaction,Life Satisfaction
5.6,year ending,October 2013 - September 2014,W92000004,Wales,poor,Poor,life-satisfaction,Life Satisfaction
15.84,year ending,October 2013 - September 2014,W92000004,Wales,fair,Fair,life-satisfaction,Life Satisfaction
50.23,year ending,October 2013 - September 2014,W92000004,Wales,good,Good,life-satisfaction,Life Satisfaction
28.33,year ending,October 2013 - September 2014,W92000004,Wales,very-good,Very good,life-satisfaction,Life Satisfaction
4.85,year ending,October 2013 - September 2014,S92000003,Scotland,poor,Poor,life-satisfaction,Life Satisfaction
13.72,year ending,October 2013 - September 2014,S92000003,Scotland,fair,Fair,life-satisfaction,Life Satisfaction
52.7,year ending,October 2013 - September 2014,S92000003,Scotland,good,Good,life-satisfaction,Life Satisfaction
28.73,year ending,October 2013 - September 2014,S92000003,Scotland,very-good,Very good,life-satisfaction,Life Satisfaction
3.61,year ending,October 2013 - September 2014,N92000002,Northern Ireland,poor,Poor,life-satisfaction,Life Satisfaction
15.22,year ending,October 2013 - September 2014,N92000002,Northern Ireland,fair,Fair,life-satisfaction,Life Satisfaction
43.2,year ending,October 2013 - September 2014,N92000002,Northern Ireland,good,Good,life-satisfaction,Life Satisfaction
37.96,year ending,October 2013 - September 2014,N92000002,Northern Ireland,very-good,Very good,life-satisfaction,Life Satisfaction
7.57,year ending,January 2014 - December 2014,E92000001,England,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.56,year ending,January 2014 - December 2014,W92000004,Wales,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.64,year ending,January 2014 - December 2014,S92000003,Scotland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
7.85,year ending,January 2014 - December 2014,N92000002,Northern Ireland,mean-average,Mean Average,life-satisfaction,Life Satisfaction
5.01,year ending,January 2014 - December 2014,E92000001,England,poor,Poor,life-satisfaction,Life Satisfaction
15.27,year ending,January 2014 - December 2014,E92000001,England,fair,Fair,life-satisfaction,Life Satisfaction
51.86,year ending,January 2014 - December 2014,E92000001,England,good,Good,life-satisfaction,Life Satisfaction
27.86,year ending,January 2014 - December 2014,E92000001,England,very-good,Very good,life-satisfaction,Life Satisfaction
5.6,year ending,January 2014 - December 2014,W92000004,Wales,poor,Poor,life-satisfaction,Life Satisfaction
15.84,year ending,January 2014 - December 2014,W92000004,Wales,fair,Fair,life-satisfaction,Life Satisfaction
50.03,year ending,January 2014 - December 2014,W92000004,Wales,good,Good,life-satisfaction,Life Satisfaction
28.53,year ending,January 2014 - December 2014,W92000004,Wales,very-good,Very good,life-satisfaction,Life Satisfaction
4.81,year ending,January 2014 - December 2014,S92000003,Scotland,poor,Poor,life-satisfaction,Life Satisfaction
13.96,year ending,January 2014 - December 2014,S92000003,Scotland,fair,Fair,life-satisfaction,Life Satisfaction
52.76,year ending,January 2014 - December 2014,S92000003,Scotland,good,Good,life-satisfaction,Life Satisfaction
28.47,year ending,January 2014 - December 2014,S92000003,Scotland,very-good,Very good,life-satisfaction,Life Satisfaction
3.4,year ending,January 2014 - December 2014,N92000002,Northern Ireland,poor,Poor,life-satisfaction,Life Satisfaction
14.26,year ending,January 2014 - December 2014,N92000002,Northern Ireland,fair,Fair,life-satisfaction,Life Satisfaction
